Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG267;LUG267_3;240;38,943847222E;48,121488889N
LUG274;LUG274_1;80;39,650941667E;48,048169444N
LUG274;LUG274_2;160;39,650941667E;48,048169444N
LUG274;LUG274_3;255;39,650941667E;48,048169444N
LUG276;LUG276_1;30;38,548855556E;48,4464N
LUG276;LUG276_2;140;38,548855556E;48,4464N
LUG276;LUG276_3;240;38,548855556E;48,4464N
LUG279;LUG279_1;60;39,458277778E;48,117088889N
LUG279;LUG279_2;150;39,458277778E;48,117088889N
LUG279;LUG279_3;330;39,458277778E;48,117088889N
LUG282;LUG282_1;90;38,853695E;48,428355N
LUG282;LUG282_2;175;38,853695E;48,428355N
LUG282;LUG282_3;310;38,853695E;48,428355N
LUG284;LUG284_1;35;38,676894444E;48,517866667N
LUG284;LUG284_2;165;38,676894444E;48,517866667N
LUG284;LUG284_3;250;38,676894444E;48,517866667N
LUG304;LUG304_1;0;39,400833333E;48,585277778N
LUG306;LUG306_1;180;39,309619444E;48,569058333N
LUG309;LUG309_1;174;39,301122222E;48,576277778N
LUG402;LUG402_1;25;39,277777778E;48,620555556N
LUG402;LUG402_2;135;39,277777778E;48,620555556N
LUG402;LUG402_3;250;39,277777778E;48,620555556N
LUG408;LUG408_1;90;38,553333333E;48,664166667N
LUG408;LUG408_2;210;38,553333333E;48,664166667N
LUG408;LUG408_3;330;38,553333333E;48,664166667N
LUG409;LUG409_1;120;38,761388889E;48,665555556N
LUG409;LUG409_2;210;38,761388889E;48,665555556N
LUG409;LUG409_3;310;38,761388889E;48,665555556N
LUG410;LUG410_1;0;38,940277778E;48,577544444N
LUG410;LUG410_3;300;38,940277778E;48,577544444N
LUG410;LUG410_2;90;38,940277778E;48,577544444N
LUG411;LUG411_1;10;38,724166667E;48,440277778N
LUG411;LUG411_2;130;38,724166667E;48,440277778N
LUG411;LUG411_3;255;38,724166667E;48,440277778N
LUG412;LUG412_1;30;39,523055556E;48,588055556N
LUG412;LUG412_2;150;39,523055556E;48,588055556N
LUG412;LUG412_3;270;39,523055556E;48,588055556N
LUG449;LUG449_1;90;39,476388889E;48,0025N
LUG449;LUG449_2;200;39,476388889E;48,0025N
LUG449;LUG449_3;290;39,476388889E;48,0025N
LUG450;LUG450_3;250;39,090555556E;48,246388889N
LUG450;LUG450_1;20;39,090555556E;48,246388889N
LUG450;LUG450_2;140;39,090555556E;48,246388889N
LUG451;LUG451_1;70;39,185277778E;48,156666667N
LUG451;LUG451_2;155;39,185277778E;48,156666667N
LUG451;LUG451_3;285;39,185277778E;48,156666667N
LUG452;LUG452_1;111;38,536666667E;48,381388889N
LUG452;LUG452_2;245;38,536666667E;48,381388889N
LUG452;LUG452_3;340;38,536666667E;48,381388889N
LUG453;LUG453_1;70;39,563055556E;48,078333333N
LUG453;LUG453_2;200;39,563055556E;48,078333333N
LUG453;LUG453_3;290;39,563055556E;48,078333333N
LUG454;LUG454_1;10;38,578888889E;48,519166667N
LUG454;LUG454_2;120;38,578888889E;48,519166667N
LUG454;LUG454_3;250;38,578888889E;48,519166667N
LUG455;LUG455_1;350;38,5175E;48,565N
LUG455;LUG455_2;120;38,5175E;48,565N
LUG455;LUG455_3;240;38,5175E;48,565N
LUG456;LUG456_1;40;39,679166667E;48,305833333N
LUG456;LUG456_2;140;39,679166667E;48,305833333N
LUG456;LUG456_3;300;39,679166667E;48,305833333N
LUG457;LUG457_2;120;39,668055556E;48,126388889N
LUG457;LUG457_3;230;39,668055556E;48,126388889N
LUG457;LUG457_1;0;39,668055556E;48,126388889N
LUG458;LUG458_1;30;38,880833333E;48,090555556N
LUG458;LUG458_2;150;38,880833333E;48,090555556N
LUG458;LUG458_3;270;38,880833333E;48,090555556N
LUG459;LUG459_1;90;39,592777778E;48,0175N
