Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG870;LUG870_1;30;39,3813E;48,554563889N
LUG870;LUG870_2;240;39,3813E;48,554563889N
LUG870;LUG870_3;320;39,3813E;48,554563889N
LUG877;LUG877_1;20;39,248527778E;48,531088889N
LUG877;LUG877_2;120;39,248527778E;48,531088889N
LUG877;LUG877_3;240;39,248527778E;48,531088889N
LUG879;LUG879_1;30;39,276769444E;48,535819444N
LUG879;LUG879_2;220;39,276769444E;48,535819444N
LUG879;LUG879_3;300;39,276769444E;48,535819444N
LUG881;LUG881_1;110;39,331775E;48,572313889N
LUG881;LUG881_2;220;39,331775E;48,572313889N
LUG881;LUG881_3;340;39,331775E;48,572313889N
LUG888;LUG888_1;30;39,365208333E;48,572547222N
LUG888;LUG888_2;150;39,365208333E;48,572547222N
LUG888;LUG888_3;270;39,365208333E;48,572547222N
LUG896;LUG896_1;80;38,511388889E;48,627222222N
LUG896;LUG896_2;240;38,511388889E;48,627222222N
LUG896;LUG896_3;330;38,511388889E;48,627222222N
LUG900;100D4;115;38,521388889E;48,626666667N
LUG900;100D5;240;38,521388889E;48,626666667N
LUG900;100D6;350;38,521388889E;48,626666667N
LUG901;LUG901_1;90;39,319444444E;48,559166667N
LUG901;LUG901_2;200;39,319444444E;48,559166667N
LUG901;LUG901_3;320;39,319444444E;48,559166667N
LUG904;LUG904_1;0;39,191666667E;48,557777778N
LUG904;LUG904_2;120;39,191666667E;48,557777778N
LUG904;LUG904_3;240;39,191666667E;48,557777778N
LUG906;LUG906_1;130;38,660277778E;48,505555556N
LUG906;LUG906_2;230;38,660277778E;48,505555556N
